gene,day1r1,day1r2,day1r3,day3r1,day3r2,day3r3,day6r1,day6r2,day6r3,day9r2,day9r3
Cbr-smrc-1,9.929088422,9.656851211,9.643150307,10.34859631,10.4014385,10.27321112,10.4413661,10.36599372,10.2140115,9.694962403,9.456670413
Cbr-oatr-1,12.66358237,12.69958626,12.62251682,12.58806414,12.56880218,12.50301266,12.51966157,12.47790064,12.58303489,12.2787537,12.3453558
CBG09116,9.255585526,9.328259228,9.450622289,5.304809179,5.306821173,6.446829707,5.643123609,5.453390169,5.60514441,7.738492246,7.937727179
CBG09125,5.835626125,5.994915161,5.853615804,6.42287586,6.405881465,5.919785075,6.657097108,6.155772661,5.728839479,6.210603319,5.689503463
CBG09126,5.762506967,5.763875168,5.474932533,6.197262285,6.27294511,5.249179952,6.450054256,6.335542755,5.757626727,6.009167338,5.99915632
CBG09128,5.201701642,4.655147929,5.435827238,5.413035947,5.18214647,5.301949903,5.721078359,5.911433438,5.464136052,4.956566715,5.08347592
Cbr-mml-1,9.345153888,9.361060148,9.239515415,9.980509831,9.894128363,9.912521632,9.833301252,9.753234525,9.782091111,9.606627079,9.380713644
CBG09135,11.61170739,11.7547586,11.69158431,11.76415975,11.8814835,11.91761494,12.12021185,12.10745699,11.98483304,11.4542171,11.49885964
Cbr-hmg-4,11.01440903,10.98302822,10.91482344,11.94059724,11.92536736,11.88866005,11.7411711,11.79608201,11.86335938,11.19382716,10.94955007
CBG09137,10.53870706,10.41754056,10.37283222,10.38661152,10.49761698,10.5005206,10.47256445,10.37283446,10.34859981,10.02904494,9.982393783
Cbr-tbp-1,8.954758228,8.879285642,8.899079357,9.573351336,9.516381028,9.600085815,9.471508809,9.42743315,9.548273557,8.973004338,8.70670192
Cbr-trd-1,11.00299757,11.04547801,11.04856738,11.31829737,11.28662448,11.24651773,11.07191755,10.99503609,11.12527138,10.73748841,10.66277746
Cbr-lgc-50,7.741384542,8.195516267,8.176573235,7.090847159,7.031164941,7.065990443,6.773779753,6.983151659,7.010680211,7.849191453,8.070050265
CBG09146,10.55833234,10.54869883,10.45568765,10.89818019,10.89288441,10.94878963,10.99797976,10.94451006,10.84239222,10.5424286,10.54078752
CBG09147,8.481210438,8.249264875,8.323074717,5.03082764,5.032288234,5.863323981,4.693390515,4.85230617,5.200608361,7.315564169,7.437738949
Cbr-cup-5,9.914539624,9.890957366,9.861532772,10.88938188,10.91656304,10.83762853,10.81068372,10.75227549,10.94163603,10.15055926,9.908618493
CBG09150,6.608872236,6.779872519,7.093775597,5.856707888,5.641254097,5.999603939,5.513772104,5.87696621,5.384888798,6.356509877,6.18697494
Cbr-mfsd-6,8.260425956,8.61911025,8.563360386,7.869660219,7.97253572,7.868533968,7.412719176,7.692100554,7.988432094,8.357765576,8.659191012
Cbr-lpd-7,13.24800851,13.22911309,13.17193138,13.40296857,13.47449039,13.49513881,13.3296684,13.33350411,13.416489,12.83273663,12.73926991
Cbr-rpl-9,14.77826305,14.98640927,14.8302375,14.49463702,14.72677097,14.86450284,14.46483417,14.53517022,14.56728756,14.55865682,14.7446464
CBG09154,8.131575912,7.862902395,7.816899669,8.045785696,8.063867989,7.90628051,7.796960698,8.014717174,7.731296303,7.634657582,7.285442526
Cbr-ttr-32,9.216555558,9.166003906,9.257238739,8.97061713,9.01272442,8.766220598,9.574701413,9.780250917,9.442214121,9.40871531,9.329102517
Cbr-ttr-8,9.41576018,9.51835318,9.570614994,8.343754136,8.202273666,8.227317882,8.621530302,8.751845191,8.426168416,9.234830896,9.363056822
Cbr-lgc-12,5.329103549,5.610800116,5.435827238,5.03082764,4.834296272,4.804366496,4.348656253,4.348656253,4.653694044,5.15958332,5.29076311
CBG09158,8.31704626,8.153834992,8.22709357,7.757149293,7.738724533,8.013859206,7.921345202,8.242007933,7.857100394,7.899230783,7.937727179
Cbr-ceh-13,6.989923083,7.304796865,6.989125131,6.614748966,6.654146038,6.56663521,6.072724831,6.00905615,6.199622836,7.224784042,7.452847673
Cbr-lin-39,6.359964056,6.264601213,6.557352048,6.197262285,6.447290145,6.211241172,5.682824117,5.87696621,5.891233619,6.910114033,6.755092965
Cbr-lig-4,9.953014779,9.697536796,9.671502248,10.55631184,10.54677915,10.54475362,10.4413661,10.41321112,10.32719398,9.474278111,9.316924872
CBG09169,8.908948711,8.901773199,8.669916215,9.092313296,9.032150637,9.021267121,9.052257905,9.224400128,9.288141415,8.525803567,8.534797269
Cbr-cux-7,10.52361116,10.50903558,10.39499676,10.91127784,10.95856696,10.86643027,10.84593037,10.80278896,10.86378616,9.824516925,9.879949302
Cbr-clk-2,10.77375978,10.69003065,10.7510896,11.42685738,11.43669493,11.38344353,11.31436436,11.22258838,11.33944158,10.46058124,10.25536008
Cbr-cls-1,9.473168445,9.587534923,9.721809032,9.337371529,9.204686728,9.125685946,8.768311356,8.696090027,9.390044802,9.953034875,10.06960097
CBG09176,11.88964517,11.69937504,11.77191044,12.50612962,12.41383977,12.40336078,12.45685865,12.37708135,12.31575555,11.62090347,11.4028436
Cbr-cgh-1,15.68809325,15.69255035,15.60870621,16.75619043,16.76932302,16.7753562,16.52396351,16.46662795,16.65501523,15.22479234,15.06746128
Cbr-mup-4,12.98902576,12.68287496,12.96278732,11.29383692,10.9836927,11.18814173,10.24408896,9.856436642,10.87506781,12.52472917,12.43579412
CBG09179,7.19256055,7.112216503,7.010702445,7.211058841,7.144893121,7.304099582,7.564820983,7.692100554,7.500436606,6.746465229,6.366755937
Cbr-fum-1,13.14068337,13.30014247,13.22645163,12.87593796,12.89967522,13.03279123,12.65026305,12.63890344,12.85921369,12.80487981,12.92672684
CBG09181,9.962475218,9.952754214,9.865868562,10.62045877,10.71826202,10.67890161,10.55110573,10.66580207,10.76794021,9.748929092,9.553243817
Cbr-mls-1,6.162238368,6.40547599,6.114221509,5.509666192,5.641254097,5.301949903,5.112391411,4.96396192,5.250709341,5.83178651,6.021537873
CBG09186,5.439849304,5.430295375,5.154899578,5.03082764,4.692862253,5.485674143,4.348656253,4.85230617,4.348656253,4.348656253,4.348656253
CBG09188,8.049180818,8.177141242,8.034123607,4.833249248,4.834296272,5.708225975,4.835038128,4.96396192,4.955387721,6.715404945,6.983924738
