Geneid	"RNA STAR on data 17, data 15, and data 9: mapped.bam"	Public Name
WBGene00000434	14	ceh-9
WBGene00000435	226	ceh-10
WBGene00000436	0	ceh-12
WBGene00000437	547	ceh-13
WBGene00000438	91	ceh-14
WBGene00000439	287	ceh-16
WBGene00000440	5	ceh-17
WBGene00000441	459	ceh-18
WBGene00000442	66	ceh-19
WBGene00000443	1431	ceh-20
WBGene00000444	2951	ceh-21
WBGene00000445	33	ceh-22
WBGene00000446	9	ceh-23
WBGene00000447	16	ceh-24
WBGene00000448	279	pros-1
WBGene00000449	51	ceh-27
WBGene00000450	2	ceh-28
WBGene00000451	27	ceh-30
WBGene00000452	15	ceh-31
WBGene00000453	3016	ceh-32
WBGene00000454	19	ceh-33
WBGene00000455	100	ceh-34
WBGene00000457	14	ceh-36
WBGene00000458	415	ceh-37
WBGene00000459	15187	ceh-38
WBGene00000460	3930	ceh-39
WBGene00000461	864	ceh-40
WBGene00000462	1049	ceh-41
WBGene00000463	1992	ceh-43
WBGene00000464	1739	ceh-44
WBGene00000465	211912	cpg-1
WBGene00000466	7861	cel-1
WBGene00000467	5542	cep-1
WBGene00000468	7	ces-1
WBGene00000469	598	ces-2
WBGene00000472	33327	cey-1
WBGene00000473	126912	cey-2
WBGene00000474	50328	cey-3
WBGene00000475	56918	cey-4
WBGene00000476	132	cfi-1
WBGene00000477	135	cft-1
WBGene00000478	969	cfz-2
WBGene00000479	170236	cgh-1
WBGene00000480	18015	cgp-1
WBGene00000481	71	cha-1
WBGene00000482	7304	chd-3
WBGene00000483	2	che-1
WBGene00000484	34	che-2
WBGene00000485	311	che-3
WBGene00000487	13	che-6
WBGene00000488	70	che-7
WBGene00000490	95	che-11
WBGene00000491	63	che-12
WBGene00000492	47	che-13
WBGene00000493	157	che-14
WBGene00000496	44591	chs-1
WBGene00000497	506	chs-2
WBGene00000498	6454	chk-1
WBGene00000499	885	chk-2
WBGene00000500	6584	chn-1
WBGene00000501	103	cho-1
WBGene00000502	4877	chp-1
WBGene00000503	34156	cht-1
WBGene00000506	2124	cic-1
WBGene00000507	4723	cit-1.1
